taille|J|temps_gpu|memoryThroughput(GB/s)|computationThroughput(GOPS/s)|computeIntensity(OPS/Byte)
Operator = 2 | Ntest = 10 | Mode = 2 | N_thread = 128
10000000|18|6962.64|17.2348|1.43624|0.0833333
10000000|19|7127.94|16.8352|1.40293|0.0833333
10000000|20|7127.46|16.8363|1.40302|0.0833333
10000000|21|7346.39|16.3346|1.36121|0.0833333
10000000|22|7362.26|16.2994|1.35828|0.0833333
10000000|23|7649.79|15.6867|1.30723|0.0833333
10000000|24|7374.62|16.272|1.356|0.0833333
10000000|25|7952.26|15.0901|1.2575|0.0833333
10000000|26|7935.84|15.1213|1.26011|0.0833333
10000000|27|8339.85|14.3887|1.19906|0.0833333
10000000|28|8303.03|14.4525|1.20438|0.0833333
10000000|29|8751.11|13.7125|1.14271|0.0833333
10000000|30|8708.3|13.78|1.14833|0.0833333
10000000|31|9203.88|13.038|1.0865|0.0833333
10000000|32|8789.4|13.6528|1.13773|0.0833333
10000000|33|9614.1|12.4817|1.04014|0.0833333
10000000|34|9683.97|12.3916|1.03263|0.0833333
10000000|35|9898.15|12.1235|1.01029|0.0833333
10000000|36|9974.75|12.0304|1.00253|0.0833333
10000000|37|10125.2|11.8516|0.98763|0.0833333
10000000|38|10191.4|11.7747|0.981224|0.0833333
10000000|39|10327.2|11.6198|0.968318|0.0833333
10000000|40|10085.7|11.898|0.991499|0.0833333
10000000|41|10479.1|11.4513|0.954279|0.0833333
10000000|42|10455.4|11.4773|0.956442|0.0833333
10000000|43|10488.5|11.441|0.953421|0.0833333
10000000|44|10648.3|11.2694|0.939118|0.0833333
10000000|45|10823.5|11.087|0.923919|0.0833333
10000000|46|10910.5|10.9986|0.91655|0.0833333
10000000|47|11032.2|10.8773|0.906438|0.0833333
10000000|48|10902.3|11.0068|0.917237|0.0833333
10000000|49|11194.8|10.7193|0.893273|0.0833333
10000000|50|11222.5|10.6928|0.891066|0.0833333
10000000|51|11275.4|10.6427|0.886889|0.0833333
10000000|52|11339.2|10.5828|0.881897|0.0833333
10000000|53|11427.5|10.5009|0.875079|0.0833333
10000000|54|11528.3|10.4092|0.86743|0.0833333
10000000|55|11654.6|10.2963|0.858027|0.0833333
10000000|56|11501|10.4339|0.869488|0.0833333
