taille|K|temps_gpu|memoryThroughput(GB/s)|computationThroughput(GOPS/s)|computeIntensity(OPS/Byte)
Ntest = 10 | Mode = 3 | N_thread = 128
1000000|124|5847.49|2.05216|21.2057|10.3333
1000000|125|5896.81|2.035|21.1979|10.4167
1000000|126|5943.02|2.01918|21.2014|10.5
1000000|127|5984.76|2.00509|21.2206|10.5833
1000000|128|6034.02|1.98872|21.2131|10.6667
1000000|129|6085.62|1.97186|21.1975|10.75
1000000|130|6126.35|1.95875|21.2198|10.8333
1000000|131|6184.48|1.94034|21.182|10.9167
1000000|132|6219.45|1.92943|21.2238|11
1000000|133|6266.05|1.91508|21.2255|11.0833
1000000|134|6309.86|1.90179|21.2366|11.1667
1000000|135|6356.01|1.88798|21.2397|11.25
1000000|136|6408.47|1.87252|21.2219|11.3333
1000000|137|6449.04|1.86074|21.2435|11.4167
1000000|138|6493.78|1.84792|21.2511|11.5
1000000|139|6544.14|1.8337|21.2404|11.5833
1000000|140|6595.72|1.81936|21.2259|11.6667
1000000|141|6632.04|1.8094|21.2604|11.75
1000000|142|6678.33|1.79686|21.2628|11.8333
1000000|143|6727.86|1.78363|21.2549|11.9167
1000000|144|6769.79|1.77258|21.271|12
1000000|145|6820.32|1.75945|21.26|12.0833
1000000|146|6879.26|1.74437|21.2232|12.1667
1000000|147|6907.55|1.73723|21.2811|12.25
1000000|148|6954.94|1.72539|21.2798|12.3333
1000000|149|7001.76|1.71385|21.2804|12.4167
1000000|150|7055.42|1.70082|21.2603|12.5
1000000|151|7094.05|1.69156|21.2854|12.5833
1000000|152|7149.43|1.67846|21.2604|12.6667
1000000|153|7184.79|1.67019|21.295|12.75
1000000|154|7281.76|1.64795|21.1487|12.8333
1000000|155|7282.11|1.64787|21.285|12.9167
1000000|156|7325.77|1.63805|21.2947|13
1000000|157|7408.15|1.61984|21.1929|13.0833
1000000|158|7419.02|1.61746|21.2966|13.1667
1000000|159|7480.52|1.60417|21.2552|13.25
1000000|160|7507.77|1.59834|21.3112|13.3333
1000000|161|7561.46|1.58699|21.2922|13.4167
1000000|162|7602.8|1.57837|21.3079|13.5
1000000|163|7645.74|1.5695|21.3191|13.5833
1000000|164|7704.96|1.55744|21.285|13.6667
1000000|165|7736.62|1.55106|21.3271|13.75
1000000|166|7792.27|1.53999|21.3032|13.8333
1000000|167|7830.88|1.53239|21.3258|13.9167
1000000|168|7883.67|1.52213|21.3099|14
1000000|169|7926.56|1.5139|21.3207|14.0833
1000000|170|7971.49|1.50537|21.326|14.1667
1000000|171|8015.6|1.49708|21.3334|14.25
1000000|172|8062.75|1.48833|21.3327|14.3333
1000000|173|8118.29|1.47814|21.3099|14.4167
1000000|174|8152.3|1.47198|21.3437|14.5
1000000|175|8209.61|1.4617|21.3165|14.5833
1000000|176|8252.45|1.45411|21.327|14.6667
1000000|177|8296.74|1.44635|21.3337|14.75
1000000|178|8340.54|1.43876|21.3415|14.8333
1000000|179|8385.39|1.43106|21.3466|14.9167
1000000|180|8436.46|1.4224|21.336|15
1000000|181|8483.58|1.4145|21.3353|15.0833
1000000|182|8524.54|1.4077|21.3501|15.1667
1000000|183|8578.26|1.39888|21.333|15.25
1000000|184|8629.56|1.39057|21.3221|15.3333
1000000|185|8657.38|1.3861|21.3691|15.4167
1000000|186|8708.96|1.37789|21.3573|15.5
1000000|187|8754.6|1.37071|21.3602|15.5833
1000000|188|8799.98|1.36364|21.3637|15.6667
1000000|189|8843.4|1.35694|21.3719|15.75
1000000|190|8896.09|1.34891|21.3577|15.8333
1000000|191|8939.41|1.34237|21.3661|15.9167
1000000|192|8984.55|1.33563|21.37|16
1000000|193|9032.89|1.32848|21.3664|16.0833
1000000|194|9097.54|1.31904|21.3244|16.1667
1000000|195|9122.74|1.31539|21.3752|16.25
1000000|196|9173.54|1.30811|21.3658|16.3333
1000000|197|9214.41|1.30231|21.3796|16.4167
1000000|198|9277.6|1.29344|21.3417|16.5
1000000|199|9313.5|1.28845|21.3668|16.5833
