taille|K|temps_gpu|memoryThroughput(GB/s)|computationThroughput(GOPS/s)|computeIntensity(OPS/Byte)
Operator = 2 | Ntest = 10 | Mode = 3 | N_thread = 128
1000000|124|5812.72|2.06444|21.3325|10.3333
1000000|125|5857.98|2.04849|21.3384|10.4167
1000000|126|5899.38|2.03411|21.3582|10.5
1000000|127|5946.44|2.01801|21.3573|10.5833
1000000|128|5988.37|2.00388|21.3747|10.6667
1000000|129|6033.05|1.98904|21.3822|10.75
1000000|130|6079.64|1.9738|21.3828|10.8333
1000000|131|6124.16|1.95945|21.3907|10.9167
1000000|132|6171|1.94458|21.3904|11
1000000|133|6216.29|1.93041|21.3954|11.0833
1000000|134|6263.89|1.91574|21.3925|11.1667
1000000|135|6316|1.89994|21.3743|11.25
1000000|136|6350.98|1.88947|21.414|11.3333
1000000|137|6396.87|1.87592|21.4167|11.4167
1000000|138|6441.18|1.86301|21.4247|11.5
1000000|139|6488.17|1.84952|21.4236|11.5833
1000000|140|6536.69|1.83579|21.4176|11.6667
1000000|141|6579.53|1.82384|21.4301|11.75
1000000|142|6625.55|1.81117|21.4322|11.8333
1000000|143|6670.34|1.79901|21.4382|11.9167
1000000|144|6717.03|1.7865|21.4381|12
1000000|145|6769|1.77279|21.4212|12.0833
1000000|146|6810.12|1.76208|21.4387|12.1667
1000000|147|6862.39|1.74866|21.4211|12.25
1000000|148|6906.07|1.7376|21.4304|12.3333
1000000|149|6947.87|1.72715|21.4454|12.4167
1000000|150|6993.1|1.71598|21.4497|12.5
1000000|151|7036.97|1.70528|21.4581|12.5833
1000000|152|7081.79|1.69449|21.4635|12.6667
1000000|153|7127.8|1.68355|21.4652|12.75
1000000|154|7183.48|1.6705|21.4381|12.8333
1000000|155|7221.15|1.66179|21.4647|12.9167
1000000|156|7268.1|1.65105|21.4636|13
1000000|157|7312.81|1.64096|21.4692|13.0833
1000000|158|7361.62|1.63008|21.4627|13.1667
1000000|159|7404.44|1.62065|21.4736|13.25
1000000|160|7451.31|1.61046|21.4727|13.3333
1000000|161|7496.9|1.60066|21.4756|13.4167
1000000|162|7545.25|1.5904|21.4705|13.5
1000000|163|7592.72|1.58046|21.4679|13.5833
1000000|164|7632.83|1.57216|21.4861|13.6667
1000000|165|7675.46|1.56342|21.4971|13.75
1000000|166|7722.04|1.55399|21.4969|13.8333
1000000|167|7768.85|1.54463|21.4961|13.9167
1000000|168|7813.89|1.53573|21.5002|14
1000000|169|7862.33|1.52626|21.4949|14.0833
1000000|170|7909.64|1.51714|21.4927|14.1667
1000000|171|7953.99|1.50868|21.4986|14.25
1000000|172|7999.27|1.50014|21.502|14.3333
1000000|173|8045.4|1.49154|21.503|14.4167
1000000|174|8092.85|1.48279|21.5005|14.5
1000000|175|8140.35|1.47414|21.4979|14.5833
1000000|176|8189.78|1.46524|21.4902|14.6667
1000000|177|8232.88|1.45757|21.4992|14.75
1000000|178|8272.68|1.45056|21.5166|14.8333
1000000|179|8324.28|1.44157|21.5033|14.9167
1000000|180|8385.77|1.431|21.4649|15
1000000|181|8413.27|1.42632|21.5136|15.0833
1000000|182|8454.59|1.41935|21.5268|15.1667
1000000|183|8501.84|1.41146|21.5248|15.25
1000000|184|8546.31|1.40411|21.5298|15.3333
1000000|185|8595.07|1.39615|21.524|15.4167
1000000|186|8644.81|1.38812|21.5158|15.5
1000000|187|8687.42|1.38131|21.5254|15.5833
1000000|188|8729.65|1.37462|21.5358|15.6667
1000000|189|8774.41|1.36761|21.5399|15.75
1000000|190|8824.46|1.35986|21.5311|15.8333
1000000|191|8867.5|1.35326|21.5393|15.9167
1000000|192|8915.32|1.346|21.536|16
1000000|193|8968.7|1.33799|21.5193|16.0833
1000000|194|9004.96|1.3326|21.5437|16.1667
1000000|195|9055.06|1.32523|21.5349|16.25
1000000|196|9111.92|1.31696|21.5103|16.3333
1000000|197|9154.24|1.31087|21.5201|16.4167
1000000|198|9207.71|1.30326|21.5037|16.5
1000000|199|9234.78|1.29944|21.549|16.5833
